State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,86,86,86,89,88,90,87,87,130,151,153,214,186,186,186,186,186,186,186,186,186,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,62,65,67,62,68,78,85,98,117,126,138,135,141,141,141,141,141,141,141,141,141,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,192,212,228,282,306,349,401,482,572,702,773,750,808,808,808,808,808,808,808,808,808,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,286,287,294,235,255,283,287,302,366,329,339,345,345,345,345,345,345,345,345,345,345,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"127,600","128,077","135,221","133,310","133,248","132,375","129,319","130,592","129,143","127,461","124,981","124,092","121,269","119,556","117,214","112,818","107,867","108,579","108,375","99,263","101,789","100,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,578,579,582,538,562,605,603,621,702,697,721,741,759,759,759,759,759,759,759,759,759,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,5,5,5,7,7,8,9,11,14,17,20,19,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,6,59,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,89,100,109,142,154,176,204,247,294,367,414,401,430,430,430,430,430,430,430,430,430,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"2,157","2,444","2,663","3,507","3,849","4,434","5,034","5,908","6,889","8,444","9,516","9,799","10,056","10,056","10,056","10,056","10,056","10,056","10,056","10,056","10,056","10,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,91,101,107,125,135,153,172,203,227,276,300,291,315,315,315,315,315,315,315,315,315,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"2,681","2,143",748,"1,813","2,144","2,224","2,114","2,280","2,316","1,643","1,964","2,183","2,491","2,630","2,422","2,153","2,408","2,978","1,009",8,92,"1,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,315,338,369,497,555,647,708,785,874,"1,037","1,170","1,359","1,281","1,281","1,281","1,281","1,281","1,281","1,281","1,281","1,281","1,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"1,307","1,520","1,530","1,312","1,397","1,525","1,510","1,537","2,325","2,122","2,120","2,164","2,213","1,881","2,251","2,206","2,167","2,280","2,258","2,353","2,296","2,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,439,474,517,672,730,836,969,"1,173","1,399","1,744","1,965","1,905","2,042","2,042","2,042","2,042","2,042","2,042","2,042","2,042","2,042","2,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"1,029","1,120","1,221","1,605","1,759","2,024","2,306","2,718","3,180","3,912","4,408","4,499","4,647","4,647","4,647","4,647","4,647","4,647","4,647","4,647","4,647","4,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,253,277,302,411,462,541,583,630,689,803,906,"1,005",974,974,974,974,974,974,974,974,974,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,597,672,733,971,"1,071","1,238","1,391","1,608","1,855","2,258","2,544","2,700","2,712","2,712","2,712","2,712","2,712","2,712","2,712","2,712","2,712","2,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,451,502,544,700,778,902,996,"1,125","1,279","1,520","1,708","1,891","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,226,240,261,356,403,472,505,540,585,677,764,962,859,859,859,859,859,859,859,859,859,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,118,132,144,187,203,233,270,327,390,486,548,532,570,570,570,570,570,570,570,570,570,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,5,6,7,9,10,11,13,16,49,61,70,68,72,72,72,72,72,72,72,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"1,154","1,241","1,352","1,776","1,945","2,237","2,552","3,014","3,530","4,347","4,898","5,088","5,193","5,193","5,193","5,193","5,193","5,193","5,193","5,193","5,193","5,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,235,250,272,354,384,440,510,617,736,918,"1,035","1,003","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,74,82,89,116,126,144,167,202,241,301,339,329,352,352,352,352,352,352,352,352,352,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,264,299,322,412,466,545,581,619,674,763,855,"1,074",958,958,958,958,958,958,958,958,958,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,282,282,282,274,278,291,281,277,265,275,279,403,337,337,337,337,337,337,337,337,337,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,200,225,245,319,346,396,459,556,663,826,931,903,967,967,967,967,967,967,967,967,967,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,225,250,272,363,403,467,519,588,668,804,906,"1,001",978,978,978,978,978,978,978,978,978,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,320,353,378,512,575,671,728,795,876,"1,021","1,151","1,195","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,5,6,7,9,10,11,13,16,20,25,28,27,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,102,108,118,153,167,191,221,268,319,398,448,435,466,466,466,466,466,466,466,466,466,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,688,738,748,563,618,690,697,732,348,317,324,442,368,368,451,458,499,487,487,885,835,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"15,106","13,566","12,646","11,926","14,183","13,910","14,606","13,682","14,997","17,323","21,631","22,419","23,886","27,022","27,496","30,519","32,493","31,859","33,045","36,335","34,870","36,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,310,329,358,481,538,627,678,739,812,950,"1,070","1,283","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,778,840,915,"1,207","1,328","1,531","1,732","2,022","2,350","2,875","3,241","3,372","3,435","3,435","3,435","3,435","3,435","3,435","3,435","3,435","3,435","3,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2,5,6,8,8,10,11,14,17,21,23,23,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,763,861,886,901,930,997,994,"1,012","1,005","1,061","1,114","1,286","1,476","2,803","2,977","2,898","2,927","2,838","2,836","2,883","2,916","2,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,511,544,593,788,872,"1,009","1,128","1,293","1,481","1,790","2,018","2,180","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,5,5,5,7,7,8,9,11,14,17,20,127,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,134,150,164,213,232,265,307,372,444,554,624,605,648,648,648,648,648,648,648,648,648,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,442,479,511,637,706,813,867,933,"1,456","1,576","1,716","1,962","1,868","1,868","1,868","1,868","1,868","1,868","1,868","1,868","1,868","1,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,43,50,54,70,76,87,101,123,146,182,205,199,213,213,213,213,213,213,213,213,213,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,562,639,694,914,"1,007","1,161","1,296","1,486","1,699","2,057","2,316","2,488","2,478","2,478","2,478","2,478","2,478","2,478","2,478","2,478","2,478","2,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"2,088","2,165","2,815","2,539","2,534","2,503","2,562","2,325","3,294","3,490","3,449","4,027","3,993","3,851","5,768","4,809","5,285","5,237","4,864","3,570","4,111","4,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,384,442,481,643,715,830,917,"1,031","1,163","1,392","1,569","1,764","1,701","1,701","1,701","1,701","1,701","1,701","1,701","1,701","1,701","1,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,5,6,6,8,8,10,11,14,20,25,28,27,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,341,343,370,494,553,642,683,728,788,902,"1,013","1,262","1,136","1,136","1,136","1,136","1,136","1,136","1,136","1,136","1,136","1,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,129,143,156,203,220,252,292,354,421,525,592,574,615,615,615,615,615,615,615,615,615,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,9,10,10,12,12,14,15,17,23,27,31,30,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,671,671,673,714,718,745,693,644,569,591,598,670,663,663,663,663,663,663,663,663,663,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"164,399","164,460","171,164","173,445","178,147","180,703","181,200","185,774","192,433","200,185","207,979","212,311","211,592","214,006","214,474","211,756","209,541","210,154","208,769","201,192","202,805","204,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
